Year,Estonia worldBank/NY_GDP_MKTP_KD,Estonia worldBank/NY_GDP_PCAP_KD
1995,10254019389,7137.530776
1996,10760877053,7601.669019
1997,12165173095,8692.296438
1998,12693120380,9157.064847
1999,12639171425,9091.333194
2000,13914164835,9960.139039
2001,14749525967,10625.57927
2002,15748270638,11417.16797
2003,16945180968,12362.24828
2004,18098132398,13282.54552
2005,19822237764,14631.38733
2006,21757994919,16155.20743
2007,23407063928,17459.09831
2008,22205813183,16607.56806
2009,18957312552,14205.39488
2010,19420679530,14585.83866
2011,20831219911,15692.78883
2012,21503693455,16257.4722
2013,21817309478,16553.38326
2014,22474308646,17096.64458
2015,22890762090,17402.03761
2016,23613094924,17945.94496
2017,24980775932,18962.4103
2018,25926098667,19611.61099
2019,26895658711,20269.57514
2020,26747463293,20118.10507
2021,28890861347,21707.24075
2022,28518917122,21207.31392
