Country Code,Country,sector,gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,Afghanistan,Agriculture,CH4,69841274.17,76767677.71,75143185.95,99484925.97,104234533.5,128237788.3,171253818.6,204065051,163492067.5,168729212.2,206968827.9,218639877.1,228753473.3,237442912.9,277241864.7,286002008,303330037.6,359067892.8,401215818.7,459371479.5,453797298.7,433493820.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494534093.4,535971371.9,625961534,730486779.4,805928970.5,1107713583,1031561753,1241616105,1375850637,1544912201,1750093808,1786820842,1786241984,1763521822,1705088232,1816316671,1711206500,1720773523,1734149769,0
AFG,Afghanistan,Agriculture,CO2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.38801E+11,1.60624E+11,77079974686,1.27451E+11,1.1345E+11,1.11111E+11,1.07376E+11,1.01489E+11,1.17857E+11,1.40606E+11,1.26011E+11,1.55303E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1802E+11,2.49478E+11,2.73653E+11,3.85661E+11,4.12502E+11,5.21277E+11,4.74615E+11,5.15193E+11,5.93883E+11,6.22556E+11,6.79431E+11,7.83907E+11,5.37982E+11,4.01137E+11,2.74493E+11,2.84143E+11,2.73534E+11,2.94201E+11,2.97576E+11,0
AFG,Afghanistan,Agriculture,N2O,170247502.6,175419909.1,176389609.5,237783712.5,248570732.2,304331168.1,412104076,479932719,377746002.6,390728526.8,481044833.3,512055081.4,573870633.1,564714036.6,640124576.2,650970023.1,680610303.3,805732912.6,915192220.6,1060615043,1026936812,997759395.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214998672,1306282923,1525176192,1736336025,2052068055,2920625459,2803623380,3204997689,3721002158,4064537533,4513721446,4537274221,4325931107,4490123378,3872218712,3837262570,4178020963,4070026141,4042144702,0
AFG,Afghanistan,Energy,CH4,1483524996,1398443046,1132987933,1502222382,1367521443,1519496812,2007168411,1789661410,1441819808,2281601493,2075829788,2173423111,1743776477,1947565465,2305406950,2484689361,3078982611,3558233034,4074074209,4771536013,3990929668,3953168078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423041031,12371393995,13845771679,15522844063,17537825396,19995650322,19164559589,21224206921,22815364886,16562895925,20365541755,20931329866,20756584071,24531040723,24399410727,23589269975,23445751401,18752569320,19342439737,0
AFG,Afghanistan,Energy,CO2,1062801998,935074779.6,675731369.3,914873558,815494438.7,867816067.2,1111111085,1052410955,874734628.7,1235867475,1053546142,968840725.4,1036074984,1083333290,1140505554,1126984103,1317296684,1246132244,1549295826,1673276204,2057470803,1748134628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3789887445,3762965673,5762710925,4668524530,4199569636,4256715953,2395569949,1833997201,1878753388,1459435502,1932749230,2378560212,2621115955,2412889251,2687917280,2364876372,2151755492,2050103680,2210564541,0
AFG,Afghanistan,Energy,N2O,1.14217E+11,1.10958E+11,1.04826E+11,1.37733E+11,1.39821E+11,1.66408E+11,2.16497E+11,2.39966E+11,1.81437E+11,1.68851E+11,1.98268E+11,2.04822E+11,1.6628E+11,1.92601E+11,2.10273E+11,2.37779E+11,2.67155E+11,2.75292E+11,3.23796E+11,3.40912E+11,3.07049E+11,2.56004E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7335E+11,1.82345E+11,2.07323E+11,2.32286E+11,2.50199E+11,3.08594E+11,2.56999E+11,2.55613E+11,2.84547E+11,1.65969E+11,2.21202E+11,2.62036E+11,3.14074E+11,2.75574E+11,3.0096E+11,2.54782E+11,2.4136E+11,2.08892E+11,2.14298E+11,0
AFG,Afghanistan,Industrial Processes and Product Use,CO2,8442351823,6793179401,4480874408,5482563439,4938271879,4863123855,6249999853,8625429990,8747346287,8336620840,9662356884,10229659056,9065656114,8798646010,10313662670,11378204885,8842752827,11402831730,13469388200,14911050040,17097292592,15530303165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25994740808,28761521070,32872822698,39051180031,41995696355,58023092452,57767458189,70147802537,83456203137,93711121679,75406504038,60865271891,73204024179,75331542378,60388541550,69200994945,60990637091,61436113539,59515199189,0
AFG,Afghanistan,Industrial Processes and Product Use,N2O,2.13565E+12,2.03977E+12,1.73062E+12,1.92405E+12,1.62701E+12,1.62407E+12,1.79999E+12,1.73846E+12,1.17265E+12,1.00166E+12,1.75186E+12,1.78624E+12,1.51677E+12,1.60678E+12,1.94971E+12,2.09547E+12,2.21594E+12,2.51536E+12,2.77539E+12,3.09456E+12,3.06279E+12,2.97043E+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05559E+12,2.18027E+12,2.41259E+12,2.75974E+12,2.99918E+12,4.07868E+12,4.12699E+12,4.93661E+12,6.13022E+12,6.67583E+12,7.22195E+12,7.07169E+12,6.96883E+12,6.29498E+12,5.84556E+12,5.88141E+12,5.50739E+12,5.63263E+12,5.8699E+12,0
AFG,Afghanistan,Other,N2O,83935978008,85273566928,84536955711,1.1562E+11,1.22583E+11,1.53549E+11,2.12579E+11,2.52938E+11,2.06659E+11,2.11063E+11,2.11868E+11,2.20239E+11,1.79071E+11,1.90707E+11,2.10887E+11,2.15226E+11,2.35596E+11,2.20234E+11,2.69436E+11,2.81388E+11,2.8223E+11,2.26675E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26422E+11,2.2482E+11,2.60617E+11,2.69897E+11,2.77833E+11,3.54015E+11,2.42313E+11,2.10429E+11,2.15426E+11,1.4467E+11,1.85564E+11,2.44947E+11,2.86593E+11,2.43215E+11,2.92278E+11,2.43919E+11,2.30347E+11,1.87754E+11,1.91772E+11,0
AFG,Afghanistan,Total excluding LULUCF,CH4,58613385.41,63272495.17,61251168.38,81201209.85,84432722.36,103247860.3,138271601.7,160511598.8,128649495.7,136454132.9,165771241.3,173977099.4,172492483.9,181026972.7,212894370.2,221701790.7,237726099.3,278616360.2,312056747.9,355571193.3,346830792.6,332898364.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362069604.1,390113072,448650541.5,519593106.7,571416852,778273814.9,739254492.4,883712530.2,1003587253,1092338228,1226953286,1241689060,1234766673,1205304678,1150257934,1200222056,1135423181,1129096141,1151138044,0
