Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,1.4318180930987095e-08,1.3026315630204561e-08,1.330792655824101e-08,1.0051774077474532e-08,9.593749467546905e-09,7.798013467095747e-09,5.839285851926024e-09,4.900398158426069e-09,6.116504704425492e-09,5.9266560121337936e-09,4.8316454705105415e-09,4.5737310737035325e-09,4.371518323816651e-09,4.211538630000007e-09,3.606958859196118e-09,3.496478948093634e-09,3.296739115671125e-09,2.7849886334777525e-09,2.492424160098717e-09,2.1768874312390556e-09,2.2036270442403477e-09,2.3068379590599525e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0221052771008166e-09,1.8657712939257554e-09,1.5975422540594446e-09,1.368950168824773e-09,1.2408041360698264e-09,9.027604384227017e-10,9.694039127911448e-10,8.054019241966422e-10,7.268230815315442e-10,6.472859747069827e-10,5.713979418867814e-10,5.596531987835355e-10,5.598345626078205e-10,5.670471370246721e-10,5.864799141960179e-10,5.505647863413528e-10,5.843830068308139e-10,5.81133999570064e-10,5.766514620581289e-10,inf
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.204583778512761e-12,6.225735431668092e-12,1.2973538251326837e-11,7.846154160000011e-12,8.814433225045176e-12,9.00000019267606e-12,9.313043436554632e-12,9.8532728552222e-12,8.484848204591377e-12,7.112067011377287e-12,7.935803311968355e-12,6.439024334323107e-12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.586726604155511e-12,4.008363254606073e-12,3.654258329644957e-12,2.592952672715158e-12,2.424230046194227e-12,1.9183659316482413e-12,2.1069697288215697e-12,1.941018637313908e-12,1.6838330825936861e-12,1.6062801628303431e-12,1.471820632728149e-12,1.2756618366950653e-12,1.8587971098351166e-12,2.492916906550862e-12,3.643075231711736e-12,3.5193487553055005e-12,3.6558557773302095e-12,3.3990354757461862e-12,3.360486106476682e-12,inf
AFG,5.873801288935328e-09,5.70060721774966e-09,5.669268177223442e-09,4.205502510718749e-09,4.022999776723512e-09,3.285894133306919e-09,2.426571485769185e-09,2.0836253925815042e-09,2.6472814885011092e-09,2.5593217064134174e-09,2.0788083162826186e-09,1.9529149038285173e-09,1.7425530116760413e-09,1.7708077631400028e-09,1.5621959180009012e-09,1.5361690469715065e-09,1.469269558637619e-09,1.241106059227885e-09,1.0926666305755568e-09,9.428491574854771e-10,9.737697475744698e-10,1.0022456358951317e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.230461674209374e-10,7.655309446697388e-10,6.556619526540979e-10,5.75925388672634e-10,4.873132729544987e-10,3.4239241355450105e-10,3.5668128864717445e-10,3.120127054337792e-10,2.687448051747091e-10,2.4603045039491615e-10,2.215466798151614e-10,2.203966415289272e-10,2.3116410671445537e-10,2.2271102946699884e-10,2.5824987544070495e-10,2.6060244298377336e-10,2.393477699067248e-10,2.456986676443135e-10,2.4739341948952456e-10,inf
AFG,6.740702061666002e-10,7.150809629168238e-10,8.826219332441631e-10,6.656804024817572e-10,7.312499594156273e-10,6.581126015224118e-10,4.982142974579084e-10,5.58764911966875e-10,6.935679441625335e-10,4.3828863323264886e-10,4.817350661426191e-10,4.6010369308599713e-10,5.734679951673457e-10,5.134615590000008e-10,4.337628981798547e-10,4.0246479734854214e-10,3.2478260724119093e-10,2.810383666609768e-10,2.454545373471077e-10,2.0957611915655505e-10,2.5056818415817035e-10,2.529616702769792e-10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.754236260619389e-11,8.083163469233241e-11,7.222421567753777e-11,6.442118441528344e-11,5.701961203326659e-11,5.001087656034853e-11,5.2179649387482533e-11,4.711601256550357e-11,4.383011207500418e-11,6.037591521128038e-11,4.9102548412688254e-11,4.7775273066887175e-11,4.8177484145988916e-11,4.076467897504555e-11,4.098459635675702e-11,4.2392155461634435e-11,4.265165073551911e-11,5.3326026047504716e-11,5.1699786253487423e-11,inf
AFG,9.409090326077233e-10,1.069433185304906e-09,1.4798780186415088e-09,1.093047220875045e-09,1.2262499319431288e-09,1.1523179136090531e-09,9.000000212142862e-10,9.501991551094452e-10,1.1432038554700026e-09,8.09148245967967e-10,9.491753232008875e-10,1.0321614005133941e-09,9.651811066204508e-10,9.230769600000015e-10,8.768041471229149e-10,8.873239626582032e-10,7.591304313830246e-10,8.024830469717051e-10,6.454545241349869e-10,5.976299655948214e-10,4.86033628449273e-10,5.720383225581689e-10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.638600788412042e-10,2.657478400843805e-10,1.735294400517265e-10,2.1420043818081744e-10,2.381196376735158e-10,2.349228868168167e-10,4.1743719509986027e-10,5.452571026811268e-10,5.322678358460939e-10,6.85196433095461e-10,5.173976968293494e-10,4.2042240298860714e-10,3.8151688711051475e-10,4.1444090291296305e-10,3.7203525851116813e-10,4.228550852965548e-10,4.6473681775455246e-10,4.877802083347814e-10,4.523731297180149e-10,inf
AFG,8.755288713696056e-12,9.012388553775655e-12,9.539633952058675e-12,7.260443013788028e-12,7.151999603064022e-12,6.009337919471212e-12,4.619000108876431e-12,4.167250785163008e-12,5.511553262944932e-12,5.922397337155016e-12,5.043666078849632e-12,4.882287259571293e-12,6.013955731615062e-12,5.192077130760008e-12,4.755711467188585e-12,4.205577554823632e-12,3.743139113672029e-12,3.6325055392035656e-12,3.0883635343540532e-12,2.9333084899548177e-12,3.2568097439885634e-12,3.906188119386154e-12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.768671798441391e-12,5.484105301901319e-12,4.8233914082205804e-12,4.305042280327938e-12,3.996823773793476e-12,3.2404996282836703e-12,3.891068603423722e-12,3.91215930659277e-12,3.51435514459235e-12,6.0252355198754975e-12,4.5207498178499154e-12,3.816263994259276e-12,3.1839584509726873e-12,3.6287881025042465e-12,3.322705403759388e-12,3.9249270376214645e-12,4.143192430799167e-12,4.787161137327915e-12,4.6664028227066e-12,inf
AFG,1.1845040588362053e-10,1.4720647593294105e-10,2.231707271622547e-10,1.8239643028000147e-10,2.0249998876125064e-10,2.0562914492851206e-10,1.6000000377142866e-10,1.1593624911398262e-10,1.1432038554700025e-10,1.199526785689355e-10,1.0349441777069918e-10,9.775496862005161e-11,1.1030641218519437e-10,1.1365385070000019e-10,9.695876547549693e-11,8.788732582519345e-11,1.1308695601530624e-10,8.769751441589518e-11,7.424242179017456e-11,6.706435813009762e-11,5.848879257609894e-11,6.439024334323107e-11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.846931990582042e-11,3.476867574437312e-11,3.0420265676102e-11,2.5607420805075167e-11,2.381196376735158e-11,1.7234517460797034e-11,1.7310784156984727e-11,1.4255614058280567e-11,1.1982332797483159e-11,1.067109199083095e-11,1.3261455530383323e-11,1.6429730270274965e-11,1.3660451200887998e-11,1.3274651871360986e-11,1.655943287141698e-11,1.4450659283148342e-11,1.639595924378397e-11,1.627707129230568e-11,1.6802430532383414e-11,inf
AFG,4.682417065236182e-13,4.902522207264708e-13,5.778292565246969e-13,5.197366310416567e-13,6.146249658883143e-13,6.157351168719272e-13,5.555571559524187e-13,5.752230784648084e-13,8.527718237548654e-13,9.983469796918455e-13,5.708203163562928e-13,5.598356057641749e-13,6.592939047391668e-13,6.223615633560009e-13,5.128979518392341e-13,4.772197285263941e-13,4.512756501529829e-13,3.975575506795014e-13,3.6030907900797287e-13,3.2314744628348405e-13,3.264992683043811e-13,3.366517392365698e-13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.864790739577326e-13,4.586586263323005e-13,4.144923822430688e-13,3.623530570398655e-13,3.3342487096886755e-13,2.451774247059909e-13,2.423074539404772e-13,2.0256824875854588e-13,1.631262174067465e-13,1.4979404973023805e-13,1.3846667488447587e-13,1.4140885188030497e-13,1.4349620963972794e-13,1.5885681822121596e-13,1.7106998118365166e-13,1.7002720365404727e-13,1.815741702740671e-13,1.7753710178169752e-13,1.7036073797182825e-13,inf
AFG,1.1913842236991469e-11,1.1726963419370731e-11,1.1829146100552758e-11,8.649052333364974e-12,8.157749547244901e-12,6.512582966914614e-12,4.704142968026227e-12,3.95354561669311e-12,4.838883376522519e-12,4.737917869724012e-12,4.7199172427072574e-12,4.540527151401303e-12,5.58438746507113e-12,5.243654055900008e-12,4.741886724551409e-12,4.646281789610539e-12,4.244556502730899e-12,4.5406319240044575e-12,3.711454422864081e-12,3.553816055137568e-12,3.543212610922231e-12,4.411594038341818e-12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.4165245233927085e-12,4.447998764719e-12,3.8370477750974595e-12,3.705120000460612e-12,3.5992787353305957e-12,2.8247374118246333e-12,4.1268909430251595e-12,4.752193513529868e-12,4.641955725744976e-12,6.912284082523834e-12,5.388973292801223e-12,4.082514970602947e-12,3.489269535312534e-12,4.111588236313825e-12,3.421399623673033e-12,4.0997213591349705e-12,4.341273343825422e-12,5.326113053450925e-12,5.214519979659439e-12,inf
AFG,1.7060949356078778e-08,1.5804655677206234e-08,1.6326219179697732e-08,1.2315087445912507e-08,1.1843749342671911e-08,9.685430739386438e-09,7.2321430276148e-09,6.230079366047778e-09,7.773058061874063e-09,7.32846985931514e-09,6.032409433596002e-09,5.747882931430409e-09,5.797354049505954e-09,5.5240386825000084e-09,4.697165073872758e-09,4.510563476845866e-09,4.2065217202925335e-09,3.5891646826582584e-09,3.2045453486983505e-09,2.812376308681513e-09,2.8832503382583987e-09,3.003919834539128e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.761899890674286e-09,2.5633593741472536e-09,2.2289062586577884e-09,1.9245828844065925e-09,1.7500358913354775e-09,1.284894828550493e-09,1.3527141334100924e-09,1.1315897034962825e-09,9.964255694749154e-10,9.154673655291817e-10,8.150269544714751e-10,8.053546031275267e-10,8.098696069097884e-10,8.296657419600617e-10,8.693702257493913e-10,8.331791560855824e-10,8.807288918113687e-10,8.856641732578091e-10,8.687055430573968e-10,inf
