LSOA_2011_Code,LSOA_2011,LA Name,2012,2013,2014,2015,2016,2017
E01000001,City of London 001A,City of London,5.8,3.4,9.1,4.1,4.3,4.2
E01000002,City of London 001B,City of London,6.4,1.5,2.9,2.3,2.7,2.1
E01000003,City of London 001C,City of London,5.9,4.6,6.3,7.1,6.1,5.5
E01000005,City of London 001E,City of London,4.3,8.8,10.4,6.9,7.1,7.9
E01032739,City of London 001F,City of London,3.4,3.2,3.4,4.7,4.7,16.7
E01032740,City of London 001G,City of London,3.9,3.8,3.2,4.9,5.7,8.8
E01000006,Barking and Dagenham 016A,Barking and Dagenham,12.5,10.6,10.9,8.2,11,15.4
E01000007,Barking and Dagenham 015A,Barking and Dagenham,8.3,9.4,10.2,8.5,10.3,19
E01000008,Barking and Dagenham 015B,Barking and Dagenham,8.9,7.8,7.6,8.8,8,17
E01000009,Barking and Dagenham 016B,Barking and Dagenham,13,9.1,9.4,8.8,11,30
E01000010,Barking and Dagenham 015C,Barking and Dagenham,13.3,10.1,9.5,10.8,12.1,13.2
E01000011,Barking and Dagenham 016C,Barking and Dagenham,17.3,12.7,11,12.3,15,12.6
E01000012,Barking and Dagenham 015D,Barking and Dagenham,11.2,10,9.9,11.4,11.6,10.2
E01000013,Barking and Dagenham 013A,Barking and Dagenham,12.1,9.7,8.8,8.9,11.2,14.8
E01000014,Barking and Dagenham 013B,Barking and Dagenham,11,9.2,9.3,12.0,12,12.8
E01000015,Barking and Dagenham 009A,Barking and Dagenham,13.9,10.7,10.5,12.8,12.5,14
E01000016,Barking and Dagenham 009B,Barking and Dagenham,11.3,8.5,9.8,8.7,11.3,14.5
E01000017,Barking and Dagenham 009C,Barking and Dagenham,11.7,7.6,7.6,6.9,6.1,14.8
E01000018,Barking and Dagenham 009D,Barking and Dagenham,11.7,9.6,10.2,9.6,8.3,13.3
E01000019,Barking and Dagenham 023A,Barking and Dagenham,11.3,5.4,6.8,6.9,6,16.6
E01000020,Barking and Dagenham 023B,Barking and Dagenham,10.3,12.8,12.4,10.2,11.9,12.8
E01000021,Barking and Dagenham 008A,Barking and Dagenham,12.6,12.6,11.3,10.2,11.5,12.9
E01000022,Barking and Dagenham 008B,Barking and Dagenham,10,12.4,11.9,9.9,11.6,16.1
E01000023,Barking and Dagenham 008C,Barking and Dagenham,11.8,12.1,10.8,10.6,11.9,10.9
E01000024,Barking and Dagenham 008D,Barking and Dagenham,12.3,11.7,11.2,9.5,12,13.4
E01000025,Barking and Dagenham 008E,Barking and Dagenham,10.2,9,9.7,8.8,10.1,12.7
E01000027,Barking and Dagenham 001A,Barking and Dagenham,6.2,8.4,10.2,8.3,9.8,10.2
E01000028,Barking and Dagenham 001B,Barking and Dagenham,8.2,7.3,9.1,6.5,8.6,12.5
E01000029,Barking and Dagenham 001C,Barking and Dagenham,8,9.7,10.3,9.2,11.2,11.4
E01000030,Barking and Dagenham 001D,Barking and Dagenham,8.9,10.5,10.3,9.9,12.7,15.2
E01000031,Barking and Dagenham 002A,Barking and Dagenham,8.6,9.6,9.4,8.1,9.3,12.2
E01000032,Barking and Dagenham 002B,Barking and Dagenham,11.3,13.2,12.7,10.7,12.2,12.9
E01000033,Barking and Dagenham 006A,Barking and Dagenham,11.4,11.5,12.1,9.1,11.2,11.9
E01000034,Barking and Dagenham 003A,Barking and Dagenham,7.3,11.6,10.9,9.1,10.8,11.5
E01000035,Barking and Dagenham 010A,Barking and Dagenham,11.7,11.1,11.1,9.6,11.1,9
E01000036,Barking and Dagenham 010B,Barking and Dagenham,11.7,12.8,12,10.6,12,11.3
E01000037,Barking and Dagenham 003B,Barking and Dagenham,8.6,11,10.3,9.9,10.4,6.9
E01000038,Barking and Dagenham 003C,Barking and Dagenham,8.6,16,11.7,11.4,14,13.2
E01000039,Barking and Dagenham 003D,Barking and Dagenham,5.1,13,12.6,8.7,11.2,12.9
E01000040,Barking and Dagenham 019A,Barking and Dagenham,11.3,9.1,10.2,13.6,13.1,16.4
E01000041,Barking and Dagenham 017A,Barking and Dagenham,11.4,14.1,13.1,10.8,12.7,17.8
E01000042,Barking and Dagenham 017B,Barking and Dagenham,10.9,10.5,10.1,8.6,9.6,15.3
E01000043,Barking and Dagenham 019B,Barking and Dagenham,11.2,12.7,12.2,9.8,11,13.5
E01000044,Barking and Dagenham 016D,Barking and Dagenham,13,9.6,9.4,11.2,13.2,13.1
E01000045,Barking and Dagenham 017C,Barking and Dagenham,12.6,12.2,11.9,9.3,11.1,14
E01000046,Barking and Dagenham 017D,Barking and Dagenham,11.4,12,12.4,9.4,11.6,13.1
E01000048,Barking and Dagenham 021B,Barking and Dagenham,9.3,12.5,12.5,10.3,12.8,16.9
E01000049,Barking and Dagenham 021C,Barking and Dagenham,10.6,11.9,12.1,8.4,10.6,12.6
E01000050,Barking and Dagenham 019C,Barking and Dagenham,11.1,8.8,9.8,8.5,10.6,13.6
E01000051,Barking and Dagenham 021D,Barking and Dagenham,10.9,11.5,10.4,10.7,12.6,9.2
E01000052,Barking and Dagenham 019D,Barking and Dagenham,11.9,9.6,10.1,7.7,10.6,11.5
E01000053,Barking and Dagenham 020A,Barking and Dagenham,7.5,8.4,7.2,7.4,9.4,13.1
E01000054,Barking and Dagenham 018A,Barking and Dagenham,11.5,9.2,9.2,9.2,10.5,11.8
