"","code","iso","country","latitude","longitude","region"
"1",4,"AFG","Afghanistan",33.93911,67.709953,"South Asia"
"2",24,"AGO","Angola",-11.202692,17.873887,"Sub-Saharan Africa"
"3",28,"ATG","Antigua and Barbuda",17.060816,-61.796428,"Latin America & Caribbean"
"4",31,"AZE","Azerbaijan",40.143105,47.576927,"Europe & Central Asia"
"5",32,"ARG","Argentina",-38.416097,-63.616672,"Latin America & Caribbean"
"6",36,"AUS","Australia",-25.274398,133.775136,"East Asia & Pacific"
"7",40,"AUT","Austria",47.516231,14.550072,"Europe & Central Asia"
"8",44,"BHS","Bahamas",25.03428,-77.39628,"Latin America & Caribbean"
"9",48,"BHR","Bahrain",25.930414,50.637772,"Middle East & North Africa"
"10",56,"BEL","Belgium",50.503887,4.469936,"Europe & Central Asia"
"11",70,"BIH","Bosnia Herzegovina",43.915886,17.679076,"Europe & Central Asia"
"12",72,"BWA","Botswana",-22.328474,24.684866,"Sub-Saharan Africa"
"13",76,"BRA","Brazil",-14.235004,-51.92528,"Latin America & Caribbean"
"14",84,"BLZ","Belize",17.189877,-88.49765,"Latin America & Caribbean"
"15",90,"SLB","Solomon Isds",-9.64571,160.156194,"East Asia & Pacific"
"16",96,"BRN","Brunei Darussalam",4.535277,114.727669,"East Asia & Pacific"
"17",100,"BGR","Bulgaria",42.733883,25.48583,"Europe & Central Asia"
"18",104,"MMR","Myanmar",21.913965,95.956223,"East Asia & Pacific"
"19",108,"BDI","Burundi",-3.373056,29.918886,"Sub-Saharan Africa"
"20",112,"BLR","Belarus",53.709807,27.953389,"Europe & Central Asia"
"21",120,"CMR","Cameroon",7.369722,12.354722,"Sub-Saharan Africa"
"22",52,"BRB","Barbados",13.193887,-59.543198,"Latin America & Caribbean"
"23",68,"BOL","Bolivia (Plurinational State of)",-16.290154,-63.588653,"Latin America & Caribbean"
"24",124,"CAN","Canada",56.130366,-106.346771,"North America"
"25",152,"CHL","Chile",-35.675147,-71.542969,"Latin America & Caribbean"
"26",156,"CHN","China",35.86166,104.195397,"East Asia & Pacific"
"27",170,"COL","Colombia",4.570868,-74.297333,"Latin America & Caribbean"
